evo_line,rep,clone,time,phage,count,dil,dil_fact,t0,block
VP,3,6,T4,Y,130,40,10000,166666.6667,A
VP,3,7,T4,Y,115,40,10000,166666.6667,A
VP,3,8,T4,Y,26,40,10000,166666.6667,A
VP,3,9,T4,Y,28,40,10000,166666.6667,A
VP,3,10,T4,Y,43,40,10000,166666.6667,A
VP,3,11,T4,Y,13,40,10000,166666.6667,A
VP,3,12,T4,Y,40,40,10000,166666.6667,A
V,1,1,T4,N,31,40,10000,166666.6667,A
V,1,2,T4,N,29,40,10000,166666.6667,A
V,1,3,T4,N,30,40,10000,166666.6667,A
V,1,4,T4,N,24,40,10000,166666.6667,A
V,1,5,T4,N,15,40,10000,166666.6667,A
V,1,6,T4,N,15,40,10000,166666.6667,A
V,1,7,T4,N,39,40,10000,166666.6667,A
V,1,8,T4,N,28,40,10000,166666.6667,A
V,1,9,T4,N,40,40,10000,166666.6667,A
V,1,10,T4,N,39,40,10000,166666.6667,A
V,1,11,T4,N,29,40,10000,166666.6667,A
V,1,12,T4,N,42,40,10000,166666.6667,A
V,2,1,T4,N,25,40,10000,166666.6667,A
V,2,2,T4,N,15,40,10000,166666.6667,A
V,2,3,T4,N,33,40,10000,166666.6667,A
V,2,4,T4,N,20,40,10000,166666.6667,A
V,2,5,T4,N,36,40,10000,166666.6667,A
V,2,6,T4,N,32,40,10000,166666.6667,A
V,2,7,T4,N,32,40,10000,166666.6667,A
V,2,8,T4,N,23,40,10000,166666.6667,A
V,2,9,T4,N,16,40,10000,166666.6667,A
V,2,10,T4,N,29,40,10000,166666.6667,A
V,2,11,T4,N,28,40,10000,166666.6667,A
V,2,12,T4,N,43,40,10000,166666.6667,A
V,3,1,T4,N,28,40,10000,166666.6667,A
V,3,2,T4,N,41,40,10000,166666.6667,A
V,3,3,T4,N,68,40,10000,166666.6667,A
V,3,4,T4,N,88,40,10000,166666.6667,A
V,3,5,T4,N,210,40,10000,166666.6667,A
V,3,6,T4,N,67,40,10000,166666.6667,A
V,3,7,T4,N,374,40,10000,166666.6667,A
V,3,8,T4,N,81,40,10000,166666.6667,A
V,3,9,T4,N,48,40,10000,166666.6667,A
V,3,10,T4,N,77,40,10000,166666.6667,A
V,3,11,T4,N,71,40,10000,166666.6667,A
V,3,12,T4,N,113,40,10000,166666.6667,A
VP,4,1,T2,Y,16,40,10000,166666.6667,B
VP,4,2,T2,Y,29,40,10000,166666.6667,B
VP,4,3,T2,Y,18,40,10000,166666.6667,B
VP,4,4,T2,Y,8,40,10000,166666.6667,B
VP,4,5,T2,Y,24,40,10000,166666.6667,B
VP,4,6,T2,Y,26,40,10000,166666.6667,B
VP,4,7,T2,Y,28,40,10000,166666.6667,B
VP,4,8,T2,Y,35,40,10000,166666.6667,B
VP,4,9,T2,Y,NA,40,10000,166666.6667,B
VP,4,10,T2,Y,17,40,10000,166666.6667,B
VP,4,11,T2,Y,27,40,10000,166666.6667,B
VP,4,12,T2,Y,13,40,10000,166666.6667,B
VP,5,1,T2,Y,9,40,10000,166666.6667,B
VP,5,2,T2,Y,18,40,10000,166666.6667,B
VP,5,3,T2,Y,10,40,10000,166666.6667,B
VP,5,4,T2,Y,6,40,10000,166666.6667,B
VP,5,5,T2,Y,24,40,10000,166666.6667,B
VP,5,6,T2,Y,9,40,10000,166666.6667,B
VP,5,7,T2,Y,12,40,10000,166666.6667,B
VP,5,8,T2,Y,13,40,10000,166666.6667,B
VP,5,9,T2,Y,12,40,10000,166666.6667,B
VP,5,10,T2,Y,22,40,10000,166666.6667,B
VP,5,11,T2,Y,34,40,10000,166666.6667,B
VP,5,12,T2,Y,47,40,10000,166666.6667,B
VP,6,1,T2,Y,12,40,10000,166666.6667,B
VP,6,2,T2,Y,24,40,10000,166666.6667,B
VP,6,3,T2,Y,41,40,10000,166666.6667,B
VP,6,4,T2,Y,36,40,10000,166666.6667,B
VP,6,5,T2,Y,75,40,10000,166666.6667,B
VP,6,6,T2,Y,4,40,10000,166666.6667,B
VP,6,7,T2,Y,25,40,10000,166666.6667,B
VP,6,8,T2,Y,71,40,10000,166666.6667,B
VP,6,9,T2,Y,72,40,10000,166666.6667,B
VP,6,10,T2,Y,7,40,10000,166666.6667,B
VP,6,11,T2,Y,17,40,10000,166666.6667,B
VP,6,12,T2,Y,164,40,10000,166666.6667,B
V,4,1,T2,N,10,40,10000,166666.6667,B
V,4,2,T2,N,14,40,10000,166666.6667,B
V,4,3,T2,N,13,40,10000,166666.6667,B
V,4,4,T2,N,14,40,10000,166666.6667,B
V,4,5,T2,N,10,40,10000,166666.6667,B
V,4,6,T2,N,7,40,10000,166666.6667,B
V,4,7,T2,N,5,40,10000,166666.6667,B
V,4,8,T2,N,8,40,10000,166666.6667,B
V,4,9,T2,N,12,40,10000,166666.6667,B
V,4,10,T2,N,12,40,10000,166666.6667,B
V,4,11,T2,N,9,40,10000,166666.6667,B
V,4,12,T2,N,4,40,10000,166666.6667,B
V,5,1,T2,N,9,40,10000,166666.6667,B
V,5,2,T2,N,1,40,10000,166666.6667,B
V,5,3,T2,N,4,40,10000,166666.6667,B
V,5,4,T2,N,12,40,10000,166666.6667,B
V,5,5,T2,N,2,40,10000,166666.6667,B
V,5,6,T2,N,12,40,10000,166666.6667,B
V,5,7,T2,N,9,40,10000,166666.6667,B
V,5,8,T2,N,30,40,10000,166666.6667,B
V,5,9,T2,N,12,40,10000,166666.6667,B
V,5,10,T2,N,8,40,10000,166666.6667,B
V,5,11,T2,N,21,40,10000,166666.6667,B
V,5,12,T2,N,9,40,10000,166666.6667,B
V,6,1,T2,N,5,40,10000,166666.6667,B
V,6,2,T2,N,16,40,10000,166666.6667,B
V,6,3,T2,N,16,40,10000,166666.6667,B
V,6,4,T2,N,13,40,10000,166666.6667,B
V,6,5,T2,N,8,40,10000,166666.6667,B
V,6,6,T2,N,10,40,10000,166666.6667,B
V,6,7,T2,N,21,40,10000,166666.6667,B
V,6,8,T2,N,18,40,10000,166666.6667,B
V,6,9,T2,N,19,40,10000,166666.6667,B
V,6,10,T2,N,21,40,10000,166666.6667,B
V,6,11,T2,N,22,40,10000,166666.6667,B
V,6,12,T2,N,18,40,10000,166666.6667,B
VP,4,1,T4,Y,161,40,10000,166666.6667,B
VP,4,2,T4,Y,193,40,10000,166666.6667,B
VP,4,3,T4,Y,33,40,10000,166666.6667,B
VP,4,4,T4,Y,192,40,10000,166666.6667,B
VP,4,5,T4,Y,31,40,10000,166666.6667,B
VP,4,6,T4,Y,42,40,10000,166666.6667,B
VP,4,7,T4,Y,16,40,10000,166666.6667,B
VP,4,8,T4,Y,36,40,10000,166666.6667,B
VP,4,9,T4,Y,61,40,10000,166666.6667,B
VP,4,10,T4,Y,42,40,10000,166666.6667,B
VP,4,11,T4,Y,25,40,10000,166666.6667,B
VP,4,12,T4,Y,31,40,10000,166666.6667,B
VP,5,1,T4,Y,38,40,10000,166666.6667,B
VP,5,2,T4,Y,33,40,10000,166666.6667,B
VP,5,3,T4,Y,37,40,10000,166666.6667,B
VP,5,4,T4,Y,15,40,10000,166666.6667,B
VP,5,5,T4,Y,3,40,10000,166666.6667,B
VP,5,6,T4,Y,35,40,10000,166666.6667,B
VP,5,7,T4,Y,55,40,10000,166666.6667,B
VP,5,8,T4,Y,27,40,10000,166666.6667,B
VP,5,9,T4,Y,14,40,10000,166666.6667,B
VP,5,10,T4,Y,27,40,10000,166666.6667,B
VP,5,11,T4,Y,47,40,10000,166666.6667,B
VP,5,12,T4,Y,22,40,10000,166666.6667,B
VP,6,1,T4,Y,171,40,10000,166666.6667,B
VP,6,2,T4,Y,14,40,10000,166666.6667,B
VP,6,3,T4,Y,25,40,10000,166666.6667,B
VP,6,4,T4,Y,155,40,10000,166666.6667,B
VP,6,5,T4,Y,52,40,10000,166666.6667,B
VP,6,6,T4,Y,16,40,10000,166666.6667,B
VP,6,7,T4,Y,22,40,10000,166666.6667,B
VP,6,8,T4,Y,37,40,10000,166666.6667,B
VP,6,9,T4,Y,126,40,10000,166666.6667,B
VP,6,10,T4,Y,12,40,10000,166666.6667,B
VP,6,11,T4,Y,153,40,10000,166666.6667,B
VP,6,12,T4,Y,9,40,10000,166666.6667,B
V,4,1,T4,N,29,40,10000,166666.6667,B
V,4,2,T4,N,19,40,10000,166666.6667,B
V,4,3,T4,N,28,40,10000,166666.6667,B
V,4,4,T4,N,22,40,10000,166666.6667,B
V,4,5,T4,N,83,40,10000,166666.6667,B
V,4,6,T4,N,7,40,10000,166666.6667,B
V,4,7,T4,N,15,40,10000,166666.6667,B
V,4,8,T4,N,16,40,10000,166666.6667,B
V,4,9,T4,N,14,40,10000,166666.6667,B
V,4,10,T4,N,19,40,10000,166666.6667,B
V,4,11,T4,N,8,40,10000,166666.6667,B
V,4,12,T4,N,17,40,10000,166666.6667,B
V,5,1,T4,N,21,40,10000,166666.6667,B
V,5,2,T4,N,20,40,10000,166666.6667,B
V,5,3,T4,N,17,40,10000,166666.6667,B
V,5,4,T4,N,15,40,10000,166666.6667,B
V,5,5,T4,N,12,40,10000,166666.6667,B
V,5,6,T4,N,29,40,10000,166666.6667,B
V,5,7,T4,N,14,40,10000,166666.6667,B
V,5,8,T4,N,8,40,10000,166666.6667,B
V,5,9,T4,N,15,40,10000,166666.6667,B
V,5,10,T4,N,22,40,10000,166666.6667,B
V,5,11,T4,N,76,40,10000,166666.6667,B
V,5,12,T4,N,35,40,10000,166666.6667,B
V,6,1,T4,N,8,40,10000,166666.6667,B
V,6,2,T4,N,55,40,10000,166666.6667,B
V,6,3,T4,N,44,40,10000,166666.6667,B
V,6,4,T4,N,56,40,10000,166666.6667,B
V,6,5,T4,N,47,40,10000,166666.6667,B
V,6,6,T4,N,41,40,10000,166666.6667,B
V,6,7,T4,N,35,40,10000,166666.6667,B
V,6,8,T4,N,27,40,10000,166666.6667,B
V,6,9,T4,N,53,40,10000,166666.6667,B
V,6,10,T4,N,43,40,10000,166666.6667,B
V,6,11,T4,N,36,40,10000,166666.6667,B
V,6,12,T4,N,55,40,10000,166666.6667,B
